City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,longyearbyen,78.2186,15.6401,37.24,81,0,2.3,SJ,1724890801
119,san luis de la loma,17.2706,-100.8939,83.46,77,76,3.49,MX,1724890801
120,iqaluit,63.7506,-68.5145,46.13,65,40,15.01,CA,1724890738
121,birbhaddar,30.0667,78.2833,75.54,95,72,2.06,IN,1724890802
122,badger,64.8,-147.5333,64.65,57,75,5.75,US,1724890737
123,port elizabeth,-33.918,25.5701,46.31,78,57,7.0,ZA,1724890802
124,punta arenas,-53.15,-70.9167,37.51,87,40,24.16,CL,1724890733
125,cidreira,-30.1811,-50.2056,58.77,86,1,16.96,BR,1724890729
126,ust-nera,64.5667,143.2,41.41,97,100,7.9,RU,1724890802
127,hermanus,-34.4187,19.2345,38.8,62,96,3.96,ZA,1724890736
128,liwale,-9.7667,37.9333,67.96,93,48,4.27,TZ,1724890802
129,lerwick,60.1545,-1.1494,54.39,90,100,10.71,GB,1724890803
130,newman,37.3138,-121.0208,97.03,19,0,5.99,US,1724890737
131,cascais,38.6979,-9.4215,70.05,83,52,3.0,PT,1724890803
132,chonchi,-42.6128,-73.8092,47.12,97,35,4.54,CL,1724890745
133,lima duarte,-21.8425,-43.7931,55.63,84,1,1.7,BR,1724890803
134,kimberley,-28.7323,24.7623,37.09,46,0,6.91,ZA,1724890803
135,nagqu,31.5,92.0,36.12,86,40,2.86,CN,1724890803
136,monywa,22.1167,95.1333,80.2,85,81,5.39,MM,1724890804
137,pamandzi,-12.7967,45.2794,71.38,94,0,3.44,YT,1724890804
138,gadzhiyevo,69.2551,33.3362,53.51,73,99,7.92,RU,1724890804
139,carnarvon,-24.8667,113.6333,69.04,73,10,10.51,AU,1724890516
140,kayyerkan,69.3786,87.7439,51.6,93,96,6.49,RU,1724890804
141,saint-philippe,-21.3585,55.7679,68.86,73,36,16.78,RE,1724890804
142,ujae,8.9322,165.7642,82.92,75,100,5.35,MH,1724890804
143,nova vicosa,-17.8919,-39.3719,72.72,65,72,10.98,BR,1724890721
144,enewetak,11.3474,162.3373,83.86,75,82,8.95,MH,1724890646
145,margaret river,-33.95,115.0667,55.42,76,93,25.52,AU,1724890805
146,salinopolis,-0.6136,-47.3561,80.17,81,77,12.21,BR,1724890805
147,lebu,-37.6167,-73.65,48.11,88,0,17.96,CL,1724890805
148,lucapa,-8.4192,20.7447,71.55,32,8,2.51,AO,1724890805
149,bilibino,68.0546,166.4372,39.31,66,99,4.41,RU,1724890723
150,mokrous,51.2333,47.5167,67.21,38,74,1.01,RU,1724890806
151,alice springs,-23.7,133.8833,80.15,24,5,1.14,AU,1724890721
152,mont-laurier,46.5501,-75.4993,55.02,71,2,4.07,CA,1724890806
153,kloulklubed,7.0419,134.2556,81.57,81,100,9.24,PW,1724890806
154,semey,50.4111,80.2275,48.42,93,0,2.24,KZ,1724890806
155,avarua,-21.2078,-159.775,78.85,73,75,16.11,CK,1724890806
156,ad darb,17.7229,42.2526,85.95,76,95,1.43,SA,1724890807
157,tezu,27.9167,96.1667,78.1,78,0,2.68,IN,1724890807
158,kingston,17.997,-76.7936,83.16,86,93,1.68,JM,1724890454
159,takoradi,4.8845,-1.7554,73.6,94,96,7.02,GH,1724890807
160,taos,36.4072,-105.5731,66.6,62,0,11.5,US,1724890807
161,val-d'or,48.1002,-77.7828,55.49,67,75,8.05,CA,1724890807
162,'ali al gharbi,32.4633,46.6864,95.94,18,10,27.94,IQ,1724890808
163,thunder bay,48.4001,-89.3168,58.98,67,0,6.91,CA,1724890808
164,stanley,54.868,-1.6985,54.52,89,0,4.61,GB,1724890601
165,nuuk,64.1835,-51.7216,45.21,100,100,2.3,GL,1724890808
166,brookings,44.3114,-96.7984,80.6,79,75,14.97,US,1724890681
167,vilyuchinsk,52.9306,158.4028,70.07,64,5,9.4,RU,1724890740
168,santa ana,33.7456,-117.8678,82.11,61,20,10.36,US,1724890743
169,castillos,-34.1667,-53.8333,47.66,86,79,5.23,UY,1724890809
170,santiago,-33.4569,-70.6483,56.17,88,97,3.2,CL,1724890809
171,purpe,64.4803,76.6897,57.83,83,98,5.06,RU,1724890809
172,yamada,39.4667,141.95,77.85,78,100,4.97,JP,1724890809
173,rongelap,11.1635,166.8941,83.25,71,96,4.92,MH,1724890809
174,sanctuary point,-35.1114,150.629,63.88,29,47,5.08,AU,1724890809
175,micheweni,-4.9667,39.8333,74.97,86,6,9.13,TZ,1724890810
176,umea,63.8284,20.2597,54.91,100,33,2.3,SE,1724890810
177,harlan,41.653,-95.3255,90.12,43,15,7.65,US,1724890810
178,maralal,1.0968,36.698,57.94,91,37,5.26,KE,1724890810
179,tiksi,71.6872,128.8694,37.8,76,62,13.02,RU,1724890726
180,apolinario saravia,-24.4328,-63.9954,64.58,34,38,3.33,AR,1724890810
181,lorengau,-2.0226,147.2712,84.15,78,86,11.54,PG,1724890810
182,horta,38.5333,-28.6333,71.02,79,45,7.0,PT,1724890811
183,leua,48.2156,18.6071,71.26,57,13,6.87,SK,1724890811
184,awjilah,29.1081,21.2869,86.04,33,36,10.2,LY,1724890811
185,colonia,50.9333,6.95,72.97,75,0,4.61,DE,1724890811
186,weno,7.4515,151.8468,84.15,84,100,4.61,FM,1724890811
187,ancud,-41.8697,-73.8203,45.5,90,6,5.19,CL,1724890738
188,sabang,5.8933,95.3214,82.96,75,100,24.2,ID,1724890739
189,haiku-pauwela,20.9219,-156.3051,85.23,77,75,24.16,US,1724890812
190,san patricio,28.017,-97.5169,84.15,60,92,13.04,US,1724890729
191,saipan,15.1355,145.701,90.3,74,40,14.97,MP,1724890812
192,cranbrook,49.4999,-115.7688,51.64,76,100,2.3,CA,1724890812
193,fendou,46.65,124.8667,72.41,81,88,5.5,CN,1724890812
194,kibaya,-5.3,36.5667,60.04,81,60,6.96,TZ,1724890813
195,krupki,54.3178,29.1358,62.6,90,2,5.75,BY,1724890813
196,gondar,12.6,37.4667,56.12,98,100,1.59,ET,1724890813
197,vila velha,-20.3297,-40.2925,69.94,82,75,2.3,BR,1724890813
198,port augusta,-32.5,137.7667,62.33,45,0,9.04,AU,1724890813
199,sonseca,39.6775,-3.9745,75.34,42,36,6.67,ES,1724890813
200,belozersk,60.0326,37.7957,55.33,77,68,6.44,RU,1724890813
201,qaqortoq,60.7167,-46.0333,46.06,99,100,13.35,GL,1724890723
202,wailua homesteads,22.0669,-159.378,81.39,73,75,9.22,US,1724890647
203,hammerfest,70.6634,23.6821,50.45,93,65,0.0,NO,1724890606
204,neryungri,56.6709,124.6491,52.11,84,92,1.36,RU,1724890814
205,chulakkurgan,43.765,69.1814,63.46,50,35,5.3,KZ,1724890814
206,bay city,43.5945,-83.8889,69.12,88,100,14.97,US,1724890814
207,cativa,9.3606,-79.8436,81.1,67,28,8.01,PA,1724890814
208,bezhetsk,57.7851,36.6965,54.25,84,78,3.2,RU,1724890815
209,coxen hole,16.3244,-86.5366,85.28,74,40,12.66,HN,1724890815
210,sitka,57.0531,-135.33,57.09,88,100,11.5,US,1724890720
211,zanjan,36.6736,48.4787,59.88,74,4,8.46,IR,1724890815
212,acarau,-2.8856,-40.12,77.61,83,33,21.99,BR,1724890815
213,portland,45.5234,-122.6762,79.02,43,20,11.5,US,1724890688
214,luwuk,-0.9516,122.7875,75.51,82,81,5.55,ID,1724890816
215,villa de arista,22.65,-100.8333,80.49,39,59,18.54,MX,1724890816
216,taksimo,56.3444,114.8794,54.07,84,100,4.79,RU,1724890816
217,ouani,-12.1322,44.4258,75.15,79,4,5.75,KM,1724890816
218,gazli,40.1333,63.45,68.45,41,0,12.73,UZ,1724890816
219,minzhu,43.7286,127.3447,67.8,85,74,1.92,CN,1724890816
220,webuye,0.6075,34.7697,64.29,82,66,2.08,KE,1724890817
221,seguela,7.9611,-6.6731,70.84,98,78,5.23,CI,1724890817
222,sierra grande,-41.606,-65.3557,52.05,40,36,3.02,AR,1724890817
223,markapur,15.7333,79.2833,80.11,69,100,9.44,IN,1724890817
224,cockburn town,21.4612,-71.1419,84.09,79,5,19.93,TC,1724890817
225,grand falls-windsor,48.9332,-55.6649,63.5,93,100,12.41,CA,1724890611
226,kodiak,57.79,-152.4072,54.91,71,100,0.0,US,1724890589
227,prince rupert,54.3161,-130.3201,57.29,99,100,21.85,CA,1724890802
228,conception bay south,47.4999,-52.9981,67.73,88,99,14.81,CA,1724890818
229,leava,-14.3,-178.1667,77.43,78,99,17.76,WF,1724890738
230,tommot,58.9564,126.2925,50.65,94,100,0.92,RU,1724890818
231,mangrol,21.1167,70.1167,80.4,88,100,24.67,IN,1724890818
232,berga,60.392,5.328,68.41,56,0,11.5,NO,1724890818
233,sile,41.1754,29.6133,70.39,80,6,5.53,TR,1724890819
234,ceerigaabo,10.6162,47.368,65.68,66,89,17.78,SO,1724890819
235,maragogi,-9.0122,-35.2225,74.64,80,48,13.82,BR,1724890819
236,gisborne,-38.6533,178.0042,59.25,68,72,12.03,NZ,1724890819
237,rikaze,29.25,88.8833,56.52,55,99,3.76,CN,1724890819
238,santa terezinha,-29.9002,-50.0904,57.96,87,2,16.51,BR,1724890820
239,happy valley-goose bay,53.3168,-60.3315,57.51,62,75,10.36,CA,1724890820
240,enriquillo,17.9,-71.2333,79.2,87,4,7.45,DO,1724890820
241,mata-utu,-13.2816,-176.1745,78.94,80,8,13.98,WF,1724890820
242,mao,39.8885,4.2658,73.96,83,0,3.44,ES,1724890820
